id, Longitude,Latitude,Height,Tree_DBH,Biomass,Carbon
1,112.929171,28.16788751,11.11102988,0.338750914,0.562492029,0.269996174
2,112.9292445,28.16801017,10.41691609,0.429043204,0.810989934,0.389275168
3,112.9288786,28.16774776,11.9131185,0.654566951,1.976069565,0.948513391
4,112.9289582,28.16773855,15.71874096,0.648206993,2.508123254,1.203899162
5,112.929044,28.16797316,17.7938936,0.24645282,0.491272165,0.235810639
6,112.9290415,28.16775307,12.7848815,0.514014568,1.358440453,0.652051417
7,112.9286676,28.16769985,10.58153285,0.329187975,0.510924243,0.245243637
8,112.928582,28.16764255,14.12684765,0.438796658,1.118118442,0.536696852
9,112.9281796,28.16754938,21.55617414,0.67384993,3.606608741,1.731172196
10,112.9280819,28.16751491,13.216122,0.453363416,1.115527963,0.535453422
